阶段,模块,任务,优先级,状态,交付物,验收标准,备注
阶段一,产品定义,明确 iPhone + Watch companion 首发范围,P0,已完成,Scope v1,明确 iPhone 做什么 Watch 做什么 1.0 不做什么,已确认
阶段一,产品定义,明确训练主会话归属为 Apple Watch,P0,已完成,架构结论,Watch 为训练主状态源,已确认
阶段一,产品定义,明确 HealthKit 策略,P0,已完成,权限与数据流说明,1.0 写入 workout 并补齐申请权限 写入策略 拒权降级说明,已确认
阶段一,产品定义,明确首发 KPI,P1,已完成,指标清单,首发 KPI 为下载量达到 100,已确认
阶段一,产品定义,明确首发地区 语言 定价策略,P1,已完成,发布策略说明,中国区 中文 免费,已确认
阶段二,工程与架构设计,创建 iOS App + Watch App + Watch Extension 工程,P0,已完成,可编译工程,已生成 SquatCounter.xcodeproj 且 build 通过,已确认
阶段二,工程与架构设计,建立共享代码层,P0,已完成,Shared 模块或共享 group,训练配置 训练结果 同步 payload 等模型已集中在 Shared,已确认
阶段二,工程与架构设计,设计通信机制,P0,已完成,通信设计说明,已通过 ARCHITECTURE.md 和同步接口明确哪些数据走 WatchConnectivity,已确认
阶段二,工程与架构设计,明确本地持久化边界,P0,已完成,存储设计说明,当前阶段已明确使用 UserDefaults 持久化配置,已确认
阶段二,工程与架构设计,建立环境配置,P1,已完成,Debug Beta Release 方案,已通过 Configs/*.xcconfig 和 project.yml 落地三套构建配置,已确认
阶段三,Watch 核心训练,实现 WorkoutConfig WorkoutProgress WorkoutState PauseContext,P0,已完成,核心模型代码,共享模型已落地 可表达当前训练会话和暂停上下文,已确认
阶段三,Watch 核心训练,实现 SquatMotionState SquatDetectionEvent,P0,已完成,识别事件模型,识别状态与事件模型已落地 可供后续检测模块接入,已确认
阶段三,Watch 核心训练,实现 WorkoutSessionViewModel,P0,未开始,会话状态管理代码,能驱动完整状态流转,
阶段三,Watch 核心训练,实现设置页,P0,未开始,WorkoutConfigView,可设置 reps sets rest,
阶段三,Watch 核心训练,实现训练页,P0,未开始,WorkoutSessionView,展示组数 次数 状态 控制按钮,
阶段三,Watch 核心训练,实现休息页,P0,未开始,RestView,展示休息倒计时和控制入口,
阶段三,Watch 核心训练,实现完成页,P0,未开始,WorkoutCompleteView,展示训练完成结果,
阶段三,Watch 核心训练,实现手动 +1 / -1 修正,P0,未开始,修正逻辑,不可越界 达到目标后触发组完成,
阶段三,Watch 核心训练,实现暂停 / 恢复,P0,未开始,状态恢复逻辑,可回到正确 resumeTarget,
阶段三,Watch 核心训练,实现结束训练确认,P0,未开始,结束训练交互,当前进度被丢弃并回首页,
阶段四,训练控制能力,实现 TimerManager,P0,未开始,计时管理代码,支持开始倒计时 休息倒计时 节奏提示,
阶段四,训练控制能力,接入 3 秒训练前倒计时,P0,未开始,倒计时逻辑,倒计时结束自动进入训练,
阶段四,训练控制能力,接入组间休息倒计时,P0,未开始,休息逻辑,休息结束自动进入下一组,
阶段四,训练控制能力,实现 提前开始下一组,P0,未开始,快捷控制逻辑,可跳过剩余休息时间,
阶段四,训练控制能力,实现 HapticManager,P0,未开始,震动封装,支持不同事件反馈,
阶段四,训练控制能力,实现节奏提示与计数震动冲突处理,P1,未开始,反馈优先级逻辑,单次计数反馈优先于节奏提示,
阶段五,动作识别,定义 SquatDetectionManager 接口,P0,未开始,协议与事件流,只输出事件 不直接改 UI,
阶段五,动作识别,实现模拟识别模式,P0,未开始,调试模式,无真实传感器时可联调整体流程,
阶段五,动作识别,实现简化识别状态机,P1,未开始,MVP 识别逻辑,正常深蹲能计数,
阶段五,动作识别,增加 cooldown 机制,P1,未开始,去重逻辑,单动作不会重复计数,
阶段五,动作识别,增加内部阈值配置,P1,未开始,可调参数结构,可进行真机调参,
